ISBN,Average_Rating
3423241489,
3426605686,4.5
3453212150,3.9
3462021095,
3492045642,3.3
3498020862,2.4
3499110695,4.0
3499151502,4.5
3518111000,
3548254268,5.0
3570300099,3.0
3596292646,2.8
0060977493,3.85
0312872682,3.5
0316602906,3.9
0316693006,4.25
0345311396,3.45
0345378490,3.65
0345404793,3.75
0345433173,4.85
0375400117,4.25
0375705856,3.85
0380717018,3.85
0380718332,4.0
0380754509,
038076654X,3.7
0380807866,3.7
0385316895,4.15
0385497466,3.6
0385508042,3.7
0385509456,3.95
0385511612,3.3
0385730586,4.1
0425164403,3.1
0440234964,
0446605484,4.05
0446610399,3.7
0449006522,3.8
0449911004,3.9
0451162072,3.85
0451186648,3.85
0452282152,4.0
051513290X,3.3
0553580388,3.8
0590598848,
0590629719,4.75
0671023616,3.85
0671027387,3.8
0684848783,3.55
0743486226,3.8
0786863986,3.1
0803251718,2.5
0804117934,3.9
140003180X,4.15
155874262X,3.85
0060987103,3.95
0151008116,4.05
0375704965,4.35
0525947647,4.3
0804111359,3.75
1558744150,3.9
0435272683,3.5
0316782505,3.85
006102063X,3.75
0060013117,3.8
0060199563,3.9
006052779X,
0060563079,4.1
0060809027,3.5
0061040967,3.75
0061050474,4.0
0061052515,4.5
0061052523,4.75
0064472264,3.85
0140620664,4.25
0312148267,
0312156960,4.2
0312890044,4.0
034543191X,4.0
0373836023,3.65
0375751513,4.2
0375801677,
0375814248,
0375823352,4.85
037582345X,4.5
0375823468,4.75
0380730448,4.1
0380973839,4.75
0385327773,
0394586239,4.0
0439510112,4.2
0440241413,3.8
0451409256,3.95
0451523415,4.25
0451526279,4.05
0451526341,4.2
0486415864,4.35
0553280589,4.1
0571197639,4.2
0670035262,
0679423079,
0679751343,3.35
0684833395,4.1
0743245024,4.75
0749748001,3.5
0749748028,4.0
0963094424,4.5
1401201172,4.0
1563892278,4.5
1563898586,3.75
156971620X,4.25
1592571301,
0374270325,3.7
0375719180,3.9
0440235502,4.35
044023722X,3.65
1573225487,3.65
1853260673,3.9
0060977477,4.1
0345391691,3.85
0520011171,2.5
0553278746,3.95
0670856045,3.65
0872200760,4.0
0937858994,4.0
0671649949,3.0
0590431110,3.0
0064470113,3.5
0553571486,2.0
0972044205,4.3
0312963009,3.4
0345430476,4.15
0345435869,2.9
0380728729,4.0
038081840X,3.25
0449912302,3.9
055329198X,2.5
0671018930,3.65
0812541642,3.5
0312988699,3.0
0486282112,3.95
8483007010,3.5
0670815373,4.0
0385313748,4.0
1575843366,2.5
0684193957,3.9
0345371984,4.4
0380730138,3.35
1573228737,3.9
9681500555,3.85
0380711109,4.25
0452283914,4.35
0425120279,3.85
067153484X,3.0
0380728273,3.85
8433914545,4.3
8484509141,2.0
0446606197,3.75
0771076002,4.25
0771088191,
1559703237,4.0
3596214629,3.95
0062770500,3.5
0671847546,2.5
0060188731,3.95
0140374248,4.2
0142001740,4.25
0195086295,
0312995423,3.85
0380704587,3.7
0380815923,3.65
0385416342,4.1
0385418493,3.9
038542471X,3.9
0425098109,2.5
0449005410,4.0
0449202631,4.35
0449207544,4.1
0515128554,3.95
0517577402,3.7
0590450875,4.65
0590481371,4.4
067103619X,3.6
0684177730,
0684180200,
0743411269,3.75
0743470389,3.5
076218857X,5.0
0767905938,4.0
0800706544,
0801096677,
0849953014,
0891091963,3.25
0915811537,3.0
0927545373,
1575024179,
1880185008,2.5
0140345809,3.5
0156528207,4.5
0380012863,4.05
0451154916,2.0
0785815147,4.5
0875421288,4.4
1567184294,4.5
156718796X,4.35
1862047626,4.25
0020437501,
0198320264,3.65
0373196989,3.0
0373245580,2.5
0451527747,4.4
0671867113,3.85
0812504208,4.6
0060173289,3.8
0060973897,4.05
006101351X,3.7
0140104682,3.0
0312143370,3.5
0316666343,4.1
039456894X,3.85
0440224675,3.6
0449002632,4.1
0449213773,3.25
0452279690,3.7
0553569058,3.7
0679427430,3.6
0679725393,4.5
0802114369,4.25
0803233019,
0819154946,4.0
0897322339,3.5
0940322978,2.0
1573225126,3.5
1579651658,4.0
1878424319,3.75
8401351421,
8423324311,
8427007450,3.75
8429734996,
8429736131,
8440616252,
8472224260,
8472227421,
8474103347,3.5
8475960936,4.5
8477830029,
8478091246,
8478097732,
8478098267,4.5
8478800336,2.9
8478884963,4.5
8483002523,2.5
8486433193,2.5
0600586898,3.0
1853260622,4.15
1857938011,3.0
0060804157,
8466601090,
0140382658,2.5
0152012966,
0312283784,4.1
0345297709,3.5
0345313097,4.1
0345335465,4.1
0345416848,
0385333404,2.6
044021145X,3.9
0449212084,3.35
0553582682,3.2
0590947257,4.0
074345829X,
0786913878,3.5
0801491827,3.0
0816729913,3.0
0843136685,2.1
0866119531,2.5
0866119566,4.25
0870441663,3.5
1561561428,3.5
0553210092,3.8
0553258524,4.1
0688163726,
1569471096,
055358099X,3.5
0316168815,3.95
014023828X,3.75
0316314927,2.25
0345424719,4.0
0375414746,3.65
0375726403,3.8
0385503857,4.2
0425156842,3.9
0440226104,3.75
0452277337,3.55
0553802488,3.95
0671021001,3.85
0767903579,3.4
0805063897,4.15
0679777431,4.15
0553285343,3.3
0486285529,3.0
0671002481,3.9
0812523385,3.5
0895774666,
0020199090,
0385495145,3.5
0679733825,4.0
0842329129,3.85
0345451260,3.5
0740700235,3.75
0380973545,3.75
0393321576,4.0
0743424425,4.15
0786868015,3.8
0446610178,3.25
0684854953,2.5
0743229878,3.7
0380617625,3.5
0380732335,3.55
0385337132,4.0
0440235057,3.35
0445402040,2.0
0618119760,3.0
0871138646,4.25
0026329859,5.0
0060621257,
0060915544,4.25
0060917016,4.15
0060925000,4.55
0060932759,3.75
0061000280,3.45
0192815318,
0312195516,4.1
0380792664,3.9
0393048977,2.5
0399137807,3.15
039914739X,2.85
0451203046,3.9
0451410556,3.85
0451523318,5.0
0486281965,3.65
0486292940,5.0
051762639X,
0684824442,4.5
0743458303,
081296666X,3.1
0819215635,
0880011025,
1561011525,
1877727083,4.0
0486206173,3.5
0312278586,3.75
8845229041,2.8
887641486X,3.5
0140370900,3.25
0674511255,4.0
0030096189,5.0
0312965745,2.5
0345374657,4.5
0395710901,3.5
080521061X,4.0
0823032612,
0679310002,5.0
0312288115,2.6
0316171107,1.0
0380710218,3.95
0515118656,3.65
0553289063,3.65
0671000306,3.8
0671673688,3.55
1561672033,4.0
0425178242,4.0
0618173870,3.85
0156027321,4.0
0375403582,3.65
0385721420,3.65
0451202341,3.65
0743418190,3.85
0385335407,3.7
0965746828,4.0
0060923245,4.05
0486272664,3.5
0786015276,
0060913509,3.1
0553272837,3.55
0440225078,3.95
0312145543,
0425181111,3.8
0380732688,4.0
0140286276,3.6
0373484100,3.85
0449907481,3.75
0553107305,4.2
080213825X,2.7
0515127833,3.75
0345441133,3.8
0515134279,4.05
0945586051,3.5
0385490992,3.7
0385424728,3.65
0312980388,4.3
0590419625,3.75
0385472951,3.8
0451195663,3.45
0425182878,3.9
0553564528,3.8
055356451X,4.0
0743412621,4.15
0849943728,3.75
0849943450,5.0
084994371X,3.75
0590406019,4.75
0020442408,4.05
0553225987,3.35
042517736X,3.25
0671868713,4.0
038549825X,4.0
0553202294,4.5
0345313860,4.0
0345369947,3.95
067170124X,2.5
0345353625,3.55
0308102282,
006017143X,4.15
0805056491,3.85
0679401377,3.65
1562827049,4.25
0385306032,3.45
0816152446,3.5
0821772953,3.7
0345379454,4.0
0553576925,3.55
0743206053,3.9
0688169678,3.25
0439319552,
0590870157,
0307001164,4.65
0440441501,4.0
0590687301,4.25
0439061644,3.15
0439569842,5.0
0307118703,4.25
0590418858,3.0
030720152X,
0816728739,
0865050880,
0812519655,3.9
0812524853,3.95
0449211770,4.15
193072229X,4.3
0812521129,4.25
0345251733,
1400077826,4.0
0312995431,4.0
0312312628,4.5
0446394521,3.8
0590021117,3.8
068484267X,4.15
0553578693,4.05
0380709260,4.5
0807565288,
0312986769,3.85
0345413377,4.4
0345413369,4.3
0679893105,4.45
0061096091,4.0
0345369068,4.05
0451184718,3.85
0449209121,4.0
0060938455,4.2
080411952X,3.75
0060575808,
0060558865,4.05
0767912918,4.05
0553298860,3.75
0385335679,4.2
0440122090,3.95
0671525832,3.85
0553279572,3.65
0061009059,3.95
0060930187,4.0
0516076272,5.0
0679450432,3.9
0821775863,3.15
0821770209,3.0
0670855758,4.0
0553562819,3.0
0446364193,4.0
0446519138,3.95
0425179672,3.75
0061042943,3.75
0399144463,3.6
0965404560,
006015781X,3.35
0060930705,
0312206763,3.0
0316116025,3.75
0156013967,
0385314019,3.5
0743444167,3.7
0618231617,3.7
1567920047,
0811203220,3.5
1573229148,
0787955671,4.0
0425174484,4.05
0385496907,
0446523992,
0140185216,3.75
0684717255,3.85
0486272745,3.5
8807120194,3.5
0062507249,3.8
0684801221,4.2
1576737357,3.9
0060083298,4.0
0446672211,4.05
0140293248,3.45
0807070718,4.0
0743213831,3.9
0345305477,3.75
0061080519,3.0
0142000205,3.65
0316735027,4.05
193156146X,4.55
015600710X,4.1
0062517856,3.6
0679767789,4.25
0449911683,5.0
0425169626,4.0
0449207757,3.75
0449245691,3.9
0140029400,
0140021566,3.0
2253004022,3.5
2253005274,3.5
225300670X,4.1
2266084372,4.15
2070362388,3.55
2266029460,4.5
2253007102,4.65
2070417743,4.5
2266033689,4.5
2070384349,5.0
207053880X,5.0
2070334368,3.5
2290314951,
229000510X,
3492207006,4.5
3499177757,
3889774016,
3502670005,
0905762487,
3499222604,
3746670055,
0140620427,4.1
3596144434,3.0
3442724686,3.65
0385504209,4.2
0446525502,4.05
0385500769,3.75
0399147012,3.35
0670892963,3.65
0688180639,3.1
0316789089,3.9
0451197275,4.0
0425184129,3.6
0151001006,4.15
0385505833,3.7
0679442790,3.6
0525943862,4.5
0609605925,4.05
0060191929,3.6
0743206045,3.95
0684864843,3.75
0684867818,3.85
0743406176,3.9
0380978539,4.0
0679603352,3.6
0679410430,4.6
0446523569,4.15
0671042556,4.3
0679450440,4.15
0140107649,4.3
0609606727,4.1
0446527793,3.95
0446531332,3.9
1570717257,3.8
0060192631,3.15
0385420161,4.15
0345339711,4.55
052594463X,3.5
039304016X,4.1
0399147128,3.8
0670031046,4.3
0394574745,4.05
0316969443,3.8
0743230051,3.85
0316693200,3.9
0684868911,4.05
0842336214,3.5
0399148582,3.55
0684864320,4.1
0525944834,5.0
0345428900,4.65
0451176812,3.75
0671525794,3.9
0718144538,3.4
0446602086,3.15
0394551427,4.5
0064407667,3.7
0007100221,3.25
2253148539,4.0
2253043974,3.8
2020315491,4.0
0747549923,
0743462335,4.0
0140253580,4.0
0947782141,
057120354X,2.65
0349101779,3.8
0743222229,4.15
185479549X,4.0
0140292918,4.15
1854795554,4.5
1858813093,3.5
2871290911,3.0
0198604025,3.5
1842151053,
2253063339,4.0
1860198597,
0767908473,3.95
1842040154,
0140622063,4.35
0571209521,3.5
2264009306,
1841952931,4.25
0890877564,4.5
1405200677,4.0
0416196772,4.0
0747538069,4.35
0375501347,3.7
0060927240,3.7
0316776963,3.95
156341029X,4.65
0060934719,4.05
1886383421,2.0
1888451084,3.5
0451450256,4.0
1555835953,1.5
0395877563,4.0
0962893862,3.15
1555834531,3.0
0393318435,
0889740828,4.0
1563410443,4.25
1563899388,3.8
1563411148,4.5
0553579681,3.65
0553579673,3.5
0451181379,3.75
0786889160,4.1
0345370740,3.65
0553574175,3.5
0553574167,3.5
0553574159,3.0
0312287240,4.0
0679801146,3.9
0446300101,3.6
0821750410,
0425142485,3.45
0451456548,3.25
0060006048,3.25
0312906552,4.5
0440117291,5.0
0425049981,4.75
0374386676,4.0
0786886463,3.6
0345395379,3.8
0380788497,4.25
0307215342,3.25
0374343381,3.5
0345403339,4.35
0440226694,3.75
0440219604,4.0
0767903285,3.25
0345429176,4.0
038529929X,3.5
1573229571,3.95
0345418778,4.05
0517201658,4.3
0743211383,3.5
039914370X,3.95
1884777805,4.0
0312977905,3.65
0812521331,3.65
0451205421,3.75
0894342789,2.5
0440218535,3.75
0449207595,4.4
8806142267,3.5
0670844594,4.0
039457513X,2.75
0394559487,2.5
0804001944,3.5
0590897985,3.95
0689832877,4.85
0689829698,4.0
0439042917,4.75
0064409457,3.15
0064405052,4.55
043922165X,4.5
0152162445,4.35
0152162577,4.15
015216250X,3.9
1562477528,4.5
0439221676,3.65
0439221684,3.5
0439221714,2.0
0439221706,2.0
0439221730,2.0
0440415993,5.0
0895872102,
068983585X,3.5
0345391802,4.2
0440219078,4.35
185424597X,4.75
2080105434,4.0
349913358X,3.5
3257201761,3.0
3404121686,3.95
3404118960,4.3
0345356578,4.0
0345346971,3.95
0753804700,3.85
0451155750,3.75
0786890436,3.45
0415928087,
0521427150,
0812923278,
0884111342,3.0
0345428544,3.9
0671694049,3.85
080901582X,
0449006557,3.5
0373250339,3.6
0380820447,3.75
0385497679,3.6
0451454243,4.0
0941423042,
0373871562,4.5
0553101439,
0898151910,
0835949362,
0880701102,
039914563X,3.9
0312853238,4.45
0688048730,4.5
0425161722,3.25
0385493800,3.65
0849916399,
1928791107,
067175145X,3.45
0440211727,3.95
0877192820,
0380002450,3.75
0793133955,
0394178017,
0425134350,4.2
0385479689,3.75
0380754851,
0380538504,3.0
044661162X,3.75
0671742566,2.9
0515122408,3.75
0440222818,3.75
0451204050,3.2
038533334X,3.4
0449131548,4.0
0440120470,3.0
0451188209,3.5
0440130913,4.0
0449001954,4.6
0345404777,3.45
0451185277,3.2
0440224829,3.2
0671779338,5.0
0515134368,2.95
0380759497,4.1
3442098424,5.0
0394578791,3.7
1558505377,4.0
0373245696,1.5
0743201078,
068983571X,4.25
0553256785,4.0
0892967994,5.0
0061064505,2.5
1551668785,3.7
0836230868,
0381999866,4.0
0380817144,3.95
0380752115,4.0
0553212583,4.05
0446364762,3.4
0425166619,3.55
061312975X,
0765341972,3.15
0590514776,2.9
0373037430,4.5
0064472779,4.05
0553581279,3.8
0373750013,4.5
0393030342,5.0
0553561618,3.6
0312422156,4.15
0425139069,2.0
0450029956,5.0
0130139165,4.0
0373196741,1.5
0451524489,4.25
0140065172,4.4
044022165X,3.7
0373123485,3.5
0373123108,5.0
0590225170,5.0
0399143165,3.4
044132231X,4.0
0425124347,3.9
0786889705,3.5
0312282990,4.05
0425137945,3.4
042512892X,3.35
0425113892,3.15
0394820371,4.3
0449134482,3.5
014036336X,4.0
0375821813,4.15
0812516826,3.45
0345348036,4.4
0679420118,5.0
0871137380,3.75
0741409690,5.0
0741407213,5.0
0759612277,5.0
0741402858,4.0
1585007366,5.0
074141127X,5.0
0741403471,5.0
0741403781,5.0
0741403056,5.0
0741405784,4.0
0741402912,5.0
0553568760,3.55
034538184X,3.7
0140620125,4.05
0140620109,4.3
0375420827,3.7
0671745530,4.0
0805062971,4.25
0553211412,4.25
0671510053,3.85
1573229385,3.35
0945397410,4.5
0385334036,3.6
0060914653,4.05
0345347536,3.95
055321313X,4.45
3473540420,3.75
0375507256,4.25
0060529709,3.75
0876850867,4.1
0140274154,3.75
0679743464,4.25
0375704027,3.95
0874067391,4.5
0590484753,4.0
0451527038,4.35
1590520777,
0590484672,3.95
0975311255,5.0
0743237188,3.8
0553586122,3.85
0553584510,3.95
0345341201,3.35
1551662744,
0440175623,4.0
0440216842,3.15
0345443284,3.5
0553285653,3.7
0394800133,4.45
0060972777,3.7
0064401472,
0156001942,4.2
055326382X,3.1
0345418018,3.8
0684801469,3.7
0393961192,
9997522052,
0872203492,4.75
0312420145,3.25
0911104542,4.85
0375401318,4.2
0140253602,3.35
0671789422,4.1
1566193966,4.0
014016930X,3.95
0140077022,3.7
0679732764,4.1
0553273604,3.2
0553273914,4.1
0060256672,4.7
039592720X,4.2
1859671500,5.0
0810935627,3.5
0060928336,3.95
0671003755,3.75
0553268449,4.05
0684844729,3.6
0395051649,
0375705228,4.25
038001503X,4.5
0835607860,
158574218X,3.15
0806996021,
0440215625,4.25
0316777730,4.1
0375501851,3.45
0877733759,4.4
0805019367,3.5
0140070206,3.95
0140236589,3.5
0140042393,4.55
1590520653,
1590521994,
3446202218,2.5
3499134446,4.0
067142517X,3.55
0671726889,3.85
0446601241,3.95
0451124340,4.1
0345384466,4.0
0446604801,3.9
0345422392,3.6
0679734775,3.7
0440414717,4.5
0689715625,
0812539389,4.5
0152013369,3.5
0425124819,4.0
0345409469,3.95
1558747346,3.75
0373250177,3.4
0763615382,1.5
0965975401,2.75
0141001771,3.65
068930935X,
0451523369,3.65
0786884622,3.45
0449005569,3.0
0671027344,4.1
8885989632,
0786927089,4.65
0684831058,
006019491X,4.05
0684819066,4.25
0375420673,3.9
0140368558,4.0
0395353416,4.5
0066211611,3.85
0312254164,
3453147243,2.25
3746611229,1.5
3492229336,3.5
3453177800,2.5
3423009152,2.0
3596133319,3.35
3822813397,
3426871874,
3453171977,4.5
3423620005,4.5
034537522X,3.85
0345375211,3.65
034545829X,4.5
0140042520,4.2
0380789035,4.0
0446677574,4.0
0345358791,3.85
0060964049,4.05
0380558483,
1558171398,
0425121046,
0441317502,3.25
0804102279,
0812551389,4.1
0345298985,4.15
0345316991,3.65
034531042X,3.15
0345310306,
0345310292,5.0
034531011X,3.5
0679734058,3.15
0451130448,3.35
0553266500,
0440206154,4.0
0345370775,3.9
0441366945,
0553574833,3.5
0915950839,3.5
0060242388,3.0
0452265347,3.5
0743457943,3.7
0373484224,3.5
0553205757,4.0
0060171510,4.0
0312421001,4.1
0786000988,5.0
0380789019,4.0
0451135989,
0380018179,4.05
0679004785,
0684825821,
0517395754,
067101420X,3.45
0679457313,3.8
0394557433,4.15
0553571656,4.0
0312169787,4.55
0942257324,5.0
0805008950,3.15
0786866276,3.8
0151000638,
0140266771,3.8
015644450X,4.0
0679723420,4.5
0441004016,4.05
0671500546,2.75
0140620338,4.0
0460878263,3.5
3257061269,4.05
3453210999,
3404126661,3.0
3453177622,3.5
3453863593,4.0
3499108518,3.8
3518367064,4.0
3453199766,4.0
3746670144,3.5
3453088433,2.95
0425137015,3.5
0553572490,3.8
0553576976,3.75
0451450604,3.15
0441001335,4.15
0451454677,2.5
0373257074,2.5
0441435351,5.0
0373092237,2.5
0373057296,3.0
0373058446,2.5
0349103232,3.85
0571197779,
0679745653,3.9
0571200389,3.75
0785268480,4.2
014044503X,4.25
0851707777,4.5
0006276199,
0551031123,
0551030682,4.0
0551032510,4.5
000649840X,3.9
0140431268,4.25
0099771519,4.1
0486265862,
067102535X,3.95
0876855575,3.75
0330376136,3.0
0140272658,3.85
3407780028,
3407780117,
3257250398,
3257250053,5.0
3257250460,
3442435951,3.55
3442435838,4.0
3608919724,
3453132262,4.5
379411664X,
340780573X,5.0
3407805853,5.0
0385720920,4.0
0385498721,4.1
0972948503,
0380813815,4.4
2070372294,1.5
2264030542,4.25
0030615321,4.0
0836217632,4.3
0140099832,3.7
0385314744,3.5
0316107417,4.55
0894803700,3.6
0449221164,4.65
0553801031,3.65
0590457225,4.3
0316929190,3.45
0553052845,
0140390693,3.65
0439404371,4.0
0939766027,2.5
0679741011,3.05
0345307674,3.45
0425071421,4.0
0345297687,4.25
0766607119,4.5
1573225789,4.1
0380754843,3.85
0345368940,4.4
0345331605,4.5
0425050807,
044100962X,2.85
0553296981,4.35
1895383129,3.5
0375724575,3.4
067163884X,3.5
0553140434,
0029087104,4.0
0425050750,4.0
0345285549,3.4
0345290240,4.75
0345301870,3.05
0451169530,4.25
067168390X,4.6
0385335881,4.05
0385335482,3.9
0553258001,4.1
0671679627,2.0
0375704043,3.8
0373871279,4.3
0373484070,5.0
0805063889,4.15
068986020X,3.9
0671568809,
1573228567,5.0
0553582658,3.85
051513399X,3.85
0373218400,3.4
0449217868,4.5
0671573020,3.5
0517006456,3.65
0786867086,5.0
1569471800,
0374216495,3.3
0312274572,3.5
0316825336,
0871137631,
0679419152,4.3
0060192895,3.5
0826308791,4.15
0140259198,3.8
0345435249,3.8
0441003257,4.1
8850200005,2.25
0451202503,3.6
0446606812,3.7
0671028375,4.0
0451181468,3.85
0399149759,3.85
0345384733,3.4
0671759361,4.05
0830724982,
0399146008,3.85
3442720001,3.0
0515132632,3.75
044990671X,
0688124402,5.0
0929587081,
155970117X,
0688105408,
0871130297,
0440500095,
1570362084,5.0
0060930535,4.1
0375702709,3.85
044990928X,4.3
0671038184,3.75
0060916508,4.2
0756401453,4.65
0963270702,3.6
0399242562,3.5
0552996009,3.85
0708881297,3.0
0142000663,4.25
0590542443,4.5
0590112899,4.4
0590660543,4.2
0345361792,4.3
0552999512,3.5
041619513X,
0855030224,
0861638522,2.5
0575073314,4.5
0575073004,4.0
0394404289,4.5
000636988X,4.5
1578562333,3.65
0345458915,4.5
038531258X,3.9
006092988X,4.5
0140317937,4.25
0743225406,3.7
0553256696,4.55
0785263780,4.0
0802433243,4.35
0375413081,4.5
1400034779,4.0
038533303X,3.4
0451163753,3.65
0440414520,4.0
0786885688,3.6
0671880187,3.95
1558506454,4.5
0895773538,3.85
0385247745,4.65
0385293542,
0802069347,3.5
0671721038,3.0
0671311891,4.5
0345387007,3.65
037570504X,3.55
0767902521,4.1
0892967048,3.75
0553377868,4.15
0472113658,3.75
0609608444,4.35
0670032425,
0915811332,4.35
1558744606,3.9
080410753X,4.0
0451526503,4.1
0345325818,4.15
044023767X,4.1
014131088X,4.2
043909013X,4.5
0140244824,3.25
155643068X,
096478260X,
155643152X,
0553346768,
0884043142,3.5
0743221990,3.95
0312983212,3.65
0553486411,4.0
3478088534,2.5
3821807059,3.85
0865532168,5.0
059040640X,3.5
1566197155,3.5
0805210318,4.5
031227999X,4.0
0385508417,3.9
0385510438,4.15
0848705459,4.0
0380723638,3.7
0718001044,3.5
0307132668,2.75
0812515722,2.5
0373169876,2.25
0890842795,
0385324057,3.65
9505470010,3.75
0609602535,
0425185710,3.6
0061030651,3.7
0425178773,3.0
0553575619,3.7
0671578391,3.5
0425095584,2.5
0451409086,3.15
031298250X,3.95
006109594X,3.5
0671527215,4.3
0486203077,4.0
2894850743,3.5
0671522817,2.4
0618074716,3.5
1400062888,3.0
0618045996,4.1
0312303033,3.5
1931520038,4.6
0671318314,3.85
0553377876,3.4
1558612815,3.7
014025448X,3.9
0060934417,4.1
0671793489,4.05
0174434642,4.5
0679772677,3.95
0312983824,3.75
0449149676,3.9
0449006344,3.85
0553568183,3.65
0451191153,4.15
0440224624,3.6
0451523067,4.25
0743418174,4.0
0451526295,3.65
0440214424,3.6
0451187903,4.15
0385491050,3.6
0671036505,3.6
0553213504,4.25
0446605891,3.4
0394758285,4.25
0671004565,3.75
0345370805,3.55
0375703055,3.65
0156006529,3.45
0446673544,3.1
0140256369,3.95
0312243022,3.75
0316789844,4.0
0679761837,3.75
0385490445,4.25
0380725398,3.5
0345316770,3.15
0375700757,3.9
0070212570,4.3
0385480016,4.0
0061098361,3.25
0061093092,3.4
0821758950,4.5
0679729917,4.4
0451411013,3.8
0446611239,3.9
0553580078,3.7
0425189414,3.4
0812909372,3.5
0451410912,4.9
8481301132,3.5
0316781266,3.4
0486280616,4.5
0743405978,4.0
0671032658,4.3
0446607835,4.0
0451402103,4.35
0373250223,3.7
0380817683,3.9
0671701053,4.15
0671000381,3.2
006101253X,3.5
0671689231,3.8
0380814021,4.0
0373711026,3.2
0373710992,3.45
0373711107,
0440217806,4.0
0373711123,3.85
0373711115,3.5
0373711131,4.0
0061098795,3.75
0791423549,5.0
0375725784,3.6
0465016146,5.0
0465016103,
0373226519,4.0
0380012774,4.7
225313922X,4.0
0142004030,4.45
0452281784,3.15
0375704558,2.85
038533656X,3.2
0743230213,2.9
0345436911,3.75
0452284481,2.95
0802135196,3.5
0440217520,3.9
0373834985,2.9
0679450548,3.6
0451135555,
0345339703,4.4
038039586X,4.5
0670030643,3.9
0060929596,4.0
3499232871,2.95
0374516901,4.0
0440131480,4.0
0609600745,4.1
0375707425,3.6
3453151933,5.0
0231105592,2.0
0590317822,
014056232X,5.0
0590447319,3.25
0440940001,4.1
0440401119,4.5
0440203155,5.0
0812565959,4.2
034536628X,3.75
0880387483,3.75
0880387300,3.5
0425163385,3.7
0743444051,3.75
0061056103,4.0
0671042262,4.1
0425157539,4.0
0553585681,3.75
0553585118,3.6
0886777690,3.1
0743212002,3.55
3426650754,3.15
1854877178,
0380803526,
0373152655,2.75
0451404033,4.0
1583140352,
1854879073,
0821728326,
037348397X,3.9
0380773155,3.75
3404100263,3.95
0679731148,4.0
2070417700,3.0
2070360075,4.5
0786889373,4.15
2207245810,4.5
2207250474,4.5
2290331406,4.0
